"COPidName","pd_2019_P","DataPackCode","DataPackFilename","DataPackTabName","indicator","numeratorDenom","Modality","KeyPop","KnownNewStatus","NewExistingART","Indication","TBStatus","pregBF","VMMCTechnique","Age","AggregatedAge","AggregatedAgeFlag","Sex","HIVStatus","otherDisagg","IMPATT"
"HTS_TST|N|DSD|Index||||||||25-29|15+||Male|Negative|","knyMOz4TD9x.DX5hOcGmzO4","hts_tst_index_2529_m_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","25-29","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||25-29|15+||Male|Positive|","knyMOz4TD9x.zJAFlhIuWgH","hts_tst_index_2529_m_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","25-29","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||30-34|15+||Female|Negative|","knyMOz4TD9x.g4X5YaSBkbt","hts_tst_index_3034_f_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","30-34","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||30-34|15+||Female|Positive|","knyMOz4TD9x.nm4ngD1r1hU","hts_tst_index_3034_f_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","30-34","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||30-34|15+||Male|Negative|","knyMOz4TD9x.X6qWVyu9XoN","hts_tst_index_3034_m_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","30-34","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||30-34|15+||Male|Positive|","knyMOz4TD9x.SYFxsQKDZB6","hts_tst_index_3034_m_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","30-34","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||35-39|15+||Female|Negative|","knyMOz4TD9x.xrbKLtiVPLr","hts_tst_index_3539_f_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","35-39","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||35-39|15+||Female|Positive|","knyMOz4TD9x.XpcFo6dVPT4","hts_tst_index_3539_f_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","35-39","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||35-39|15+||Male|Negative|","knyMOz4TD9x.V6sMmLkODqf","hts_tst_index_3539_m_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","35-39","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||35-39|15+||Male|Positive|","knyMOz4TD9x.K5N6EXwJKhq","hts_tst_index_3539_m_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","35-39","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||40-49|15+||Female|Negative|","knyMOz4TD9x.SdpT6lSiyCM","hts_tst_index_4049_f_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","40-49","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||40-49|15+||Female|Positive|","knyMOz4TD9x.RHmkwEYAkor","hts_tst_index_4049_f_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","40-49","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||40-49|15+||Male|Negative|","knyMOz4TD9x.HBu2SwE1QoF","hts_tst_index_4049_m_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","40-49","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||40-49|15+||Male|Positive|","knyMOz4TD9x.j98NBCtzxly","hts_tst_index_4049_m_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","40-49","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||50+|15+||Female|Negative|","knyMOz4TD9x.flyE54cGOkr","hts_tst_index_o50_f_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","50+","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||50+|15+||Female|Positive|","knyMOz4TD9x.dZYJREDXbfa","hts_tst_index_o50_f_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","50+","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||50+|15+||Male|Negative|","knyMOz4TD9x.HSpL3hSBx6F","hts_tst_index_o50_m_neg_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","50+","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||50+|15+||Male|Positive|","knyMOz4TD9x.h3WrcUxOPZ2","hts_tst_index_o50_m_pos_dsd","HTS_DisaggTool","Index","HTS_TST","N","Index","","","","","","","","50+","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||Unknown Age|Unknown Age||Female|Negative|","knyMOz4TD9x.ZhN7dAZVzds",,,,"HTS_TST","N","Index","","","","","","","","Unknown Age","Unknown Age","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||Unknown Age|Unknown Age||Female|Positive|","knyMOz4TD9x.VaLrzNohtN9",,,,"HTS_TST","N","Index","","","","","","","","Unknown Age","Unknown Age","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Index||||||||Unknown Age|Unknown Age||Male|Negative|","knyMOz4TD9x.YcXbNpQVqTA",,,,"HTS_TST","N","Index","","","","","","","","Unknown Age","Unknown Age","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Index||||||||Unknown Age|Unknown Age||Male|Positive|","knyMOz4TD9x.EpuxXtY71JG",,,,"HTS_TST","N","Index","","","","","","","","Unknown Age","Unknown Age","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||<1|<15||Unknown Sex|Negative|","Dsi9NBnFKEp.DszsJew1vQA","hts_tst_indexmod_u1_unk_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","<1","<15","","Unknown Sex","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||<1|<15||Unknown Sex|Positive|","Dsi9NBnFKEp.tP2mjgakLVn","hts_tst_indexmod_u1_unk_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","<1","<15","","Unknown Sex","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||1-9|<15||Unknown Sex|Negative|","Dsi9NBnFKEp.BSQvgbaINGZ","hts_tst_indexmod_0109_unk_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","1-9","<15","","Unknown Sex","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||1-9|<15||Unknown Sex|Positive|","Dsi9NBnFKEp.VP9O0ao9MmZ","hts_tst_indexmod_0109_unk_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","1-9","<15","","Unknown Sex","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||10-14|<15||Female|Negative|","Dsi9NBnFKEp.pz7dlDGQssH","hts_tst_indexmod_1014_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","10-14","<15","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||10-14|<15||Female|Positive|","Dsi9NBnFKEp.sDHZqlgc0lv","hts_tst_indexmod_1014_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","10-14","<15","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||10-14|<15||Male|Negative|","Dsi9NBnFKEp.lfHFCxROkNE","hts_tst_indexmod_1014_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","10-14","<15","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||10-14|<15||Male|Positive|","Dsi9NBnFKEp.GscVGDNCdwR","hts_tst_indexmod_1014_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","10-14","<15","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||15-19|15+||Female|Negative|","Dsi9NBnFKEp.BOxW7hCTSjX","hts_tst_indexmod_1519_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","15-19","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||15-19|15+||Female|Positive|","Dsi9NBnFKEp.HEpqnVEHzUA","hts_tst_indexmod_1519_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","15-19","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||15-19|15+||Male|Negative|","Dsi9NBnFKEp.H250HduQyXi","hts_tst_indexmod_1519_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","15-19","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||15-19|15+||Male|Positive|","Dsi9NBnFKEp.SyBPyzv8HTC","hts_tst_indexmod_1519_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","15-19","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||20-24|15+||Female|Negative|","Dsi9NBnFKEp.ZAVOIaOudWw","hts_tst_indexmod_2024_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","20-24","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||20-24|15+||Female|Positive|","Dsi9NBnFKEp.FLlJURwLmAe","hts_tst_indexmod_2024_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","20-24","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||20-24|15+||Male|Negative|","Dsi9NBnFKEp.RWG4YLNHEdA","hts_tst_indexmod_2024_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","20-24","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||20-24|15+||Male|Positive|","Dsi9NBnFKEp.lZiQLcYoM7M","hts_tst_indexmod_2024_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","20-24","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||25-29|15+||Female|Negative|","Dsi9NBnFKEp.LIuHxfndMvN","hts_tst_indexmod_2529_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","25-29","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||25-29|15+||Female|Positive|","Dsi9NBnFKEp.qF9q6ImcE4Q","hts_tst_indexmod_2529_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","25-29","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||25-29|15+||Male|Negative|","Dsi9NBnFKEp.DX5hOcGmzO4","hts_tst_indexmod_2529_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","25-29","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||25-29|15+||Male|Positive|","Dsi9NBnFKEp.zJAFlhIuWgH","hts_tst_indexmod_2529_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","25-29","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||30-34|15+||Female|Negative|","Dsi9NBnFKEp.g4X5YaSBkbt","hts_tst_indexmod_3034_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","30-34","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||30-34|15+||Female|Positive|","Dsi9NBnFKEp.nm4ngD1r1hU","hts_tst_indexmod_3034_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","30-34","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||30-34|15+||Male|Negative|","Dsi9NBnFKEp.X6qWVyu9XoN","hts_tst_indexmod_3034_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","30-34","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||30-34|15+||Male|Positive|","Dsi9NBnFKEp.SYFxsQKDZB6","hts_tst_indexmod_3034_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","30-34","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||35-39|15+||Female|Negative|","Dsi9NBnFKEp.xrbKLtiVPLr","hts_tst_indexmod_3539_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","35-39","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||35-39|15+||Female|Positive|","Dsi9NBnFKEp.XpcFo6dVPT4","hts_tst_indexmod_3539_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","35-39","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||35-39|15+||Male|Negative|","Dsi9NBnFKEp.V6sMmLkODqf","hts_tst_indexmod_3539_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","35-39","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||35-39|15+||Male|Positive|","Dsi9NBnFKEp.K5N6EXwJKhq","hts_tst_indexmod_3539_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","35-39","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||40-49|15+||Female|Negative|","Dsi9NBnFKEp.SdpT6lSiyCM","hts_tst_indexmod_4049_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","40-49","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||40-49|15+||Female|Positive|","Dsi9NBnFKEp.RHmkwEYAkor","hts_tst_indexmod_4049_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","40-49","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||40-49|15+||Male|Negative|","Dsi9NBnFKEp.HBu2SwE1QoF","hts_tst_indexmod_4049_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","40-49","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||40-49|15+||Male|Positive|","Dsi9NBnFKEp.j98NBCtzxly","hts_tst_indexmod_4049_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","40-49","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||50+|15+||Female|Negative|","Dsi9NBnFKEp.flyE54cGOkr","hts_tst_indexmod_o50_f_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","50+","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||50+|15+||Female|Positive|","Dsi9NBnFKEp.dZYJREDXbfa","hts_tst_indexmod_o50_f_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","50+","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||50+|15+||Male|Negative|","Dsi9NBnFKEp.HSpL3hSBx6F","hts_tst_indexmod_o50_m_neg_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","50+","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||50+|15+||Male|Positive|","Dsi9NBnFKEp.h3WrcUxOPZ2","hts_tst_indexmod_o50_m_pos_dsd","HTS_DisaggTool","IndexMod","HTS_TST","N","IndexMod","","","","","","","","50+","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||Unknown Age|Unknown Age||Female|Negative|","Dsi9NBnFKEp.ZhN7dAZVzds",,,,"HTS_TST","N","IndexMod","","","","","","","","Unknown Age","Unknown Age","","Female","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||Unknown Age|Unknown Age||Female|Positive|","Dsi9NBnFKEp.VaLrzNohtN9",,,,"HTS_TST","N","IndexMod","","","","","","","","Unknown Age","Unknown Age","","Female","Positive","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||Unknown Age|Unknown Age||Male|Negative|","Dsi9NBnFKEp.YcXbNpQVqTA",,,,"HTS_TST","N","IndexMod","","","","","","","","Unknown Age","Unknown Age","","Male","Negative","",FALSE
"HTS_TST|N|DSD|IndexMod||||||||Unknown Age|Unknown Age||Male|Positive|","Dsi9NBnFKEp.EpuxXtY71JG",,,,"HTS_TST","N","IndexMod","","","","","","","","Unknown Age","Unknown Age","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||<1|<15||Unknown Sex|Negative|","m1jgBiSNhiI.DszsJew1vQA","hts_tst_inpat_u1_unk_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","<1","<15","","Unknown Sex","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||<1|<15||Unknown Sex|Positive|","m1jgBiSNhiI.tP2mjgakLVn","hts_tst_inpat_u1_unk_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","<1","<15","","Unknown Sex","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||1-9|<15||Unknown Sex|Negative|","m1jgBiSNhiI.BSQvgbaINGZ","hts_tst_inpat_0109_unk_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","1-9","<15","","Unknown Sex","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||1-9|<15||Unknown Sex|Positive|","m1jgBiSNhiI.VP9O0ao9MmZ","hts_tst_inpat_0109_unk_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","1-9","<15","","Unknown Sex","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||10-14|<15||Female|Negative|","m1jgBiSNhiI.pz7dlDGQssH","hts_tst_inpat_1014_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","10-14","<15","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||10-14|<15||Female|Positive|","m1jgBiSNhiI.sDHZqlgc0lv","hts_tst_inpat_1014_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","10-14","<15","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||10-14|<15||Male|Negative|","m1jgBiSNhiI.lfHFCxROkNE","hts_tst_inpat_1014_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","10-14","<15","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||10-14|<15||Male|Positive|","m1jgBiSNhiI.GscVGDNCdwR","hts_tst_inpat_1014_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","10-14","<15","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||15-19|15+||Female|Negative|","m1jgBiSNhiI.BOxW7hCTSjX","hts_tst_inpat_1519_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","15-19","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||15-19|15+||Female|Positive|","m1jgBiSNhiI.HEpqnVEHzUA","hts_tst_inpat_1519_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","15-19","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||15-19|15+||Male|Negative|","m1jgBiSNhiI.H250HduQyXi","hts_tst_inpat_1519_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","15-19","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||15-19|15+||Male|Positive|","m1jgBiSNhiI.SyBPyzv8HTC","hts_tst_inpat_1519_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","15-19","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||20-24|15+||Female|Negative|","m1jgBiSNhiI.ZAVOIaOudWw","hts_tst_inpat_2024_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","20-24","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||20-24|15+||Female|Positive|","m1jgBiSNhiI.FLlJURwLmAe","hts_tst_inpat_2024_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","20-24","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||20-24|15+||Male|Negative|","m1jgBiSNhiI.RWG4YLNHEdA","hts_tst_inpat_2024_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","20-24","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||20-24|15+||Male|Positive|","m1jgBiSNhiI.lZiQLcYoM7M","hts_tst_inpat_2024_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","20-24","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||25-29|15+||Female|Negative|","m1jgBiSNhiI.LIuHxfndMvN","hts_tst_inpat_2529_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","25-29","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||25-29|15+||Female|Positive|","m1jgBiSNhiI.qF9q6ImcE4Q","hts_tst_inpat_2529_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","25-29","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||25-29|15+||Male|Negative|","m1jgBiSNhiI.DX5hOcGmzO4","hts_tst_inpat_2529_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","25-29","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||25-29|15+||Male|Positive|","m1jgBiSNhiI.zJAFlhIuWgH","hts_tst_inpat_2529_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","25-29","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||30-34|15+||Female|Negative|","m1jgBiSNhiI.g4X5YaSBkbt","hts_tst_inpat_3034_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","30-34","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||30-34|15+||Female|Positive|","m1jgBiSNhiI.nm4ngD1r1hU","hts_tst_inpat_3034_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","30-34","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||30-34|15+||Male|Negative|","m1jgBiSNhiI.X6qWVyu9XoN","hts_tst_inpat_3034_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","30-34","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||30-34|15+||Male|Positive|","m1jgBiSNhiI.SYFxsQKDZB6","hts_tst_inpat_3034_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","30-34","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||35-39|15+||Female|Negative|","m1jgBiSNhiI.xrbKLtiVPLr","hts_tst_inpat_3539_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","35-39","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||35-39|15+||Female|Positive|","m1jgBiSNhiI.XpcFo6dVPT4","hts_tst_inpat_3539_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","35-39","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||35-39|15+||Male|Negative|","m1jgBiSNhiI.V6sMmLkODqf","hts_tst_inpat_3539_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","35-39","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||35-39|15+||Male|Positive|","m1jgBiSNhiI.K5N6EXwJKhq","hts_tst_inpat_3539_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","35-39","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||40-49|15+||Female|Negative|","m1jgBiSNhiI.SdpT6lSiyCM","hts_tst_inpat_4049_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","40-49","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||40-49|15+||Female|Positive|","m1jgBiSNhiI.RHmkwEYAkor","hts_tst_inpat_4049_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","40-49","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||40-49|15+||Male|Negative|","m1jgBiSNhiI.HBu2SwE1QoF","hts_tst_inpat_4049_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","40-49","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||40-49|15+||Male|Positive|","m1jgBiSNhiI.j98NBCtzxly","hts_tst_inpat_4049_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","40-49","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||50+|15+||Female|Negative|","m1jgBiSNhiI.flyE54cGOkr","hts_tst_inpat_o50_f_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","50+","15+","","Female","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||50+|15+||Female|Positive|","m1jgBiSNhiI.dZYJREDXbfa","hts_tst_inpat_o50_f_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","50+","15+","","Female","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||50+|15+||Male|Negative|","m1jgBiSNhiI.HSpL3hSBx6F","hts_tst_inpat_o50_m_neg_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","50+","15+","","Male","Negative","",FALSE
"HTS_TST|N|DSD|Inpat||||||||50+|15+||Male|Positive|","m1jgBiSNhiI.h3WrcUxOPZ2","hts_tst_inpat_o50_m_pos_dsd","HTS_DisaggTool","Inpat","HTS_TST","N","Inpat","","","","","","","","50+","15+","","Male","Positive","",FALSE
"HTS_TST|N|DSD|Inpat||||||||Unknown Age|Unknown Age||Female|Negative|","m1jgBiSNhiI.ZhN7dAZVzds",,,,"HTS_TST","N","Inpat","","","","","","","","Unknown Age","Unknown Age","","Female","Negative","",FALSE
