DataPackKey,DataPackCode,DataPackFilename,DataPackTabName,indicator,numeratorDenom,Modality,KeyPop,KnownNewStatus,NewExistingART,Indication,TBStatus,pregBF,VMMCTechnique,Age,AggregatedAge,AggregatedAgeFlag,Sex,HIVStatus,otherDisagg,IMPATT
HTS_TST|N|Emergency Ward||||||||25-29|15+||Female|Positive||FALSE,hts_tst_emergency_2529_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,25-29,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||25-29|15+||Male|Negative||FALSE,hts_tst_emergency_2529_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,25-29,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||25-29|15+||Male|Positive||FALSE,hts_tst_emergency_2529_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,25-29,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||30-34|15+||Female|Negative||FALSE,hts_tst_emergency_3034_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,30-34,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||30-34|15+||Female|Positive||FALSE,hts_tst_emergency_3034_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,30-34,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||30-34|15+||Male|Negative||FALSE,hts_tst_emergency_3034_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,30-34,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||30-34|15+||Male|Positive||FALSE,hts_tst_emergency_3034_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,30-34,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||35-39|15+||Female|Negative||FALSE,hts_tst_emergency_3539_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,35-39,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||35-39|15+||Female|Positive||FALSE,hts_tst_emergency_3539_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,35-39,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||35-39|15+||Male|Negative||FALSE,hts_tst_emergency_3539_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,35-39,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||35-39|15+||Male|Positive||FALSE,hts_tst_emergency_3539_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,35-39,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||40-49|15+||Female|Negative||FALSE,hts_tst_emergency_4049_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,40-49,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||40-49|15+||Female|Positive||FALSE,hts_tst_emergency_4049_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,40-49,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||40-49|15+||Male|Negative||FALSE,hts_tst_emergency_4049_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,40-49,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||40-49|15+||Male|Positive||FALSE,hts_tst_emergency_4049_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,40-49,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||50+|15+||Female|Negative||FALSE,hts_tst_emergency_o50_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,50+,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||50+|15+||Female|Positive||FALSE,hts_tst_emergency_o50_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,50+,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||50+|15+||Male|Negative||FALSE,hts_tst_emergency_o50_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,50+,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||50+|15+||Male|Positive||FALSE,hts_tst_emergency_o50_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,50+,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||Unknown Age|Unknown Age||Female|Negative||FALSE,,,,HTS_TST,N,Emergency Ward,,,,,,,,Unknown Age,Unknown Age,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||Unknown Age|Unknown Age||Female|Positive||FALSE,,,,HTS_TST,N,Emergency Ward,,,,,,,,Unknown Age,Unknown Age,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||Unknown Age|Unknown Age||Male|Negative||FALSE,,,,HTS_TST,N,Emergency Ward,,,,,,,,Unknown Age,Unknown Age,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||Unknown Age|Unknown Age||Male|Positive||FALSE,,,,HTS_TST,N,Emergency Ward,,,,,,,,Unknown Age,Unknown Age,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||<1|<15||Unknown Sex|Negative||FALSE,hts_tst_index_u1_unk_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,<1,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Index||||||||<1|<15||Unknown Sex|Positive||FALSE,hts_tst_index_u1_unk_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,<1,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Index||||||||1-9|<15||Unknown Sex|Negative||FALSE,hts_tst_index_0109_unk_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,1-9,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Index||||||||1-9|<15||Unknown Sex|Positive||FALSE,hts_tst_index_0109_unk_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,1-9,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Index||||||||10-14|<15||Female|Negative||FALSE,hts_tst_index_1014_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,10-14,<15,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||10-14|<15||Female|Positive||FALSE,hts_tst_index_1014_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,10-14,<15,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||10-14|<15||Male|Negative||FALSE,hts_tst_index_1014_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,10-14,<15,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||10-14|<15||Male|Positive||FALSE,hts_tst_index_1014_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,10-14,<15,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||15-19|15+||Female|Negative||FALSE,hts_tst_index_1519_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,15-19,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||15-19|15+||Female|Positive||FALSE,hts_tst_index_1519_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,15-19,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||15-19|15+||Male|Negative||FALSE,hts_tst_index_1519_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,15-19,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||15-19|15+||Male|Positive||FALSE,hts_tst_index_1519_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,15-19,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||20-24|15+||Female|Negative||FALSE,hts_tst_index_2024_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,20-24,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||20-24|15+||Female|Positive||FALSE,hts_tst_index_2024_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,20-24,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||20-24|15+||Male|Negative||FALSE,hts_tst_index_2024_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,20-24,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||20-24|15+||Male|Positive||FALSE,hts_tst_index_2024_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,20-24,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||25-29|15+||Female|Negative||FALSE,hts_tst_index_2529_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,25-29,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||25-29|15+||Female|Positive||FALSE,hts_tst_index_2529_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,25-29,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||25-29|15+||Male|Negative||FALSE,hts_tst_index_2529_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,25-29,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||25-29|15+||Male|Positive||FALSE,hts_tst_index_2529_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,25-29,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||30-34|15+||Female|Negative||FALSE,hts_tst_index_3034_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,30-34,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||30-34|15+||Female|Positive||FALSE,hts_tst_index_3034_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,30-34,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||30-34|15+||Male|Negative||FALSE,hts_tst_index_3034_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,30-34,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||30-34|15+||Male|Positive||FALSE,hts_tst_index_3034_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,30-34,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||35-39|15+||Female|Negative||FALSE,hts_tst_index_3539_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,35-39,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||35-39|15+||Female|Positive||FALSE,hts_tst_index_3539_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,35-39,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||35-39|15+||Male|Negative||FALSE,hts_tst_index_3539_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,35-39,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||35-39|15+||Male|Positive||FALSE,hts_tst_index_3539_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,35-39,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||40-49|15+||Female|Negative||FALSE,hts_tst_index_4049_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,40-49,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||40-49|15+||Female|Positive||FALSE,hts_tst_index_4049_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,40-49,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||40-49|15+||Male|Negative||FALSE,hts_tst_index_4049_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,40-49,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||40-49|15+||Male|Positive||FALSE,hts_tst_index_4049_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,40-49,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||50+|15+||Female|Negative||FALSE,hts_tst_index_o50_f_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,50+,15+,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||50+|15+||Female|Positive||FALSE,hts_tst_index_o50_f_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,50+,15+,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||50+|15+||Male|Negative||FALSE,hts_tst_index_o50_m_neg,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,50+,15+,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||50+|15+||Male|Positive||FALSE,hts_tst_index_o50_m_pos,HTS_DisaggTool,Index,HTS_TST,N,Index,,,,,,,,50+,15+,,Male,Positive,,FALSE
HTS_TST|N|Index||||||||Unknown Age|Unknown Age||Female|Negative||FALSE,,,,HTS_TST,N,Index,,,,,,,,Unknown Age,Unknown Age,,Female,Negative,,FALSE
HTS_TST|N|Index||||||||Unknown Age|Unknown Age||Female|Positive||FALSE,,,,HTS_TST,N,Index,,,,,,,,Unknown Age,Unknown Age,,Female,Positive,,FALSE
HTS_TST|N|Index||||||||Unknown Age|Unknown Age||Male|Negative||FALSE,,,,HTS_TST,N,Index,,,,,,,,Unknown Age,Unknown Age,,Male,Negative,,FALSE
HTS_TST|N|Index||||||||Unknown Age|Unknown Age||Male|Positive||FALSE,,,,HTS_TST,N,Index,,,,,,,,Unknown Age,Unknown Age,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||<1|<15||Unknown Sex|Negative||FALSE,hts_tst_indexmod_u1_unk_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,<1,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|IndexMod||||||||<1|<15||Unknown Sex|Positive||FALSE,hts_tst_indexmod_u1_unk_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,<1,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|IndexMod||||||||1-9|<15||Unknown Sex|Negative||FALSE,hts_tst_indexmod_0109_unk_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,1-9,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|IndexMod||||||||1-9|<15||Unknown Sex|Positive||FALSE,hts_tst_indexmod_0109_unk_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,1-9,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|IndexMod||||||||10-14|<15||Female|Negative||FALSE,hts_tst_indexmod_1014_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,10-14,<15,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||10-14|<15||Female|Positive||FALSE,hts_tst_indexmod_1014_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,10-14,<15,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||10-14|<15||Male|Negative||FALSE,hts_tst_indexmod_1014_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,10-14,<15,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||10-14|<15||Male|Positive||FALSE,hts_tst_indexmod_1014_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,10-14,<15,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||15-19|15+||Female|Negative||FALSE,hts_tst_indexmod_1519_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,15-19,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||15-19|15+||Female|Positive||FALSE,hts_tst_indexmod_1519_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,15-19,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||15-19|15+||Male|Negative||FALSE,hts_tst_indexmod_1519_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,15-19,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||15-19|15+||Male|Positive||FALSE,hts_tst_indexmod_1519_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,15-19,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||20-24|15+||Female|Negative||FALSE,hts_tst_indexmod_2024_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,20-24,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||20-24|15+||Female|Positive||FALSE,hts_tst_indexmod_2024_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,20-24,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||20-24|15+||Male|Negative||FALSE,hts_tst_indexmod_2024_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,20-24,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||20-24|15+||Male|Positive||FALSE,hts_tst_indexmod_2024_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,20-24,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||25-29|15+||Female|Negative||FALSE,hts_tst_indexmod_2529_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,25-29,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||25-29|15+||Female|Positive||FALSE,hts_tst_indexmod_2529_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,25-29,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||25-29|15+||Male|Negative||FALSE,hts_tst_indexmod_2529_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,25-29,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||25-29|15+||Male|Positive||FALSE,hts_tst_indexmod_2529_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,25-29,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||30-34|15+||Female|Negative||FALSE,hts_tst_indexmod_3034_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,30-34,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||30-34|15+||Female|Positive||FALSE,hts_tst_indexmod_3034_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,30-34,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||30-34|15+||Male|Negative||FALSE,hts_tst_indexmod_3034_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,30-34,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||30-34|15+||Male|Positive||FALSE,hts_tst_indexmod_3034_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,30-34,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||35-39|15+||Female|Negative||FALSE,hts_tst_indexmod_3539_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,35-39,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||35-39|15+||Female|Positive||FALSE,hts_tst_indexmod_3539_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,35-39,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||35-39|15+||Male|Negative||FALSE,hts_tst_indexmod_3539_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,35-39,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||35-39|15+||Male|Positive||FALSE,hts_tst_indexmod_3539_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,35-39,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||40-49|15+||Female|Negative||FALSE,hts_tst_indexmod_4049_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,40-49,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||40-49|15+||Female|Positive||FALSE,hts_tst_indexmod_4049_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,40-49,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||40-49|15+||Male|Negative||FALSE,hts_tst_indexmod_4049_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,40-49,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||40-49|15+||Male|Positive||FALSE,hts_tst_indexmod_4049_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,40-49,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||50+|15+||Female|Negative||FALSE,hts_tst_indexmod_o50_f_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,50+,15+,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||50+|15+||Female|Positive||FALSE,hts_tst_indexmod_o50_f_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,50+,15+,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||50+|15+||Male|Negative||FALSE,hts_tst_indexmod_o50_m_neg,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,50+,15+,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||50+|15+||Male|Positive||FALSE,hts_tst_indexmod_o50_m_pos,HTS_DisaggTool,IndexMod,HTS_TST,N,IndexMod,,,,,,,,50+,15+,,Male,Positive,,FALSE
HTS_TST|N|IndexMod||||||||Unknown Age|Unknown Age||Female|Negative||FALSE,,,,HTS_TST,N,IndexMod,,,,,,,,Unknown Age,Unknown Age,,Female,Negative,,FALSE
HTS_TST|N|IndexMod||||||||Unknown Age|Unknown Age||Female|Positive||FALSE,,,,HTS_TST,N,IndexMod,,,,,,,,Unknown Age,Unknown Age,,Female,Positive,,FALSE
HTS_TST|N|IndexMod||||||||Unknown Age|Unknown Age||Male|Negative||FALSE,,,,HTS_TST,N,IndexMod,,,,,,,,Unknown Age,Unknown Age,,Male,Negative,,FALSE
HTS_TST|N|IndexMod||||||||Unknown Age|Unknown Age||Male|Positive||FALSE,,,,HTS_TST,N,IndexMod,,,,,,,,Unknown Age,Unknown Age,,Male,Positive,,FALSE
HTS_TST|N|Inpat||||||||<1|<15||Unknown Sex|Negative||FALSE,hts_tst_inpat_u1_unk_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,<1,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Inpat||||||||<1|<15||Unknown Sex|Positive||FALSE,hts_tst_inpat_u1_unk_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,<1,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Inpat||||||||1-9|<15||Unknown Sex|Negative||FALSE,hts_tst_inpat_0109_unk_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,1-9,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Inpat||||||||1-9|<15||Unknown Sex|Positive||FALSE,hts_tst_inpat_0109_unk_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,1-9,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Inpat||||||||10-14|<15||Female|Negative||FALSE,hts_tst_inpat_1014_f_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,10-14,<15,,Female,Negative,,FALSE
HTS_TST|N|Inpat||||||||10-14|<15||Female|Positive||FALSE,hts_tst_inpat_1014_f_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,10-14,<15,,Female,Positive,,FALSE
HTS_TST|N|Inpat||||||||10-14|<15||Male|Negative||FALSE,hts_tst_inpat_1014_m_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,10-14,<15,,Male,Negative,,FALSE
HTS_TST|N|Inpat||||||||10-14|<15||Male|Positive||FALSE,hts_tst_inpat_1014_m_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,10-14,<15,,Male,Positive,,FALSE
HTS_TST|N|Inpat||||||||15-19|15+||Female|Negative||FALSE,hts_tst_inpat_1519_f_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,15-19,15+,,Female,Negative,,FALSE
HTS_TST|N|Inpat||||||||15-19|15+||Female|Positive||FALSE,hts_tst_inpat_1519_f_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,15-19,15+,,Female,Positive,,FALSE
HTS_TST|N|Inpat||||||||15-19|15+||Male|Negative||FALSE,hts_tst_inpat_1519_m_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,15-19,15+,,Male,Negative,,FALSE
HTS_TST|N|Inpat||||||||15-19|15+||Male|Positive||FALSE,hts_tst_inpat_1519_m_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,15-19,15+,,Male,Positive,,FALSE
HTS_TST|N|Inpat||||||||20-24|15+||Female|Negative||FALSE,hts_tst_inpat_2024_f_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,20-24,15+,,Female,Negative,,FALSE
HTS_TST|N|Inpat||||||||20-24|15+||Female|Positive||FALSE,hts_tst_inpat_2024_f_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,20-24,15+,,Female,Positive,,FALSE
HTS_TST|N|Inpat||||||||20-24|15+||Male|Negative||FALSE,hts_tst_inpat_2024_m_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,20-24,15+,,Male,Negative,,FALSE
HTS_TST|N|Inpat||||||||20-24|15+||Male|Positive||FALSE,hts_tst_inpat_2024_m_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,20-24,15+,,Male,Positive,,FALSE
HTS_TST|N|Inpat||||||||25-29|15+||Female|Negative||FALSE,hts_tst_inpat_2529_f_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,25-29,15+,,Female,Negative,,FALSE
HTS_TST|N|Inpat||||||||25-29|15+||Female|Positive||FALSE,hts_tst_inpat_2529_f_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,25-29,15+,,Female,Positive,,FALSE
HTS_TST|N|Inpat||||||||25-29|15+||Male|Negative||FALSE,hts_tst_inpat_2529_m_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,25-29,15+,,Male,Negative,,FALSE
HTS_TST|N|Inpat||||||||25-29|15+||Male|Positive||FALSE,hts_tst_inpat_2529_m_pos,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,25-29,15+,,Male,Positive,,FALSE
HTS_TST|N|Inpat||||||||30-34|15+||Female|Negative||FALSE,hts_tst_inpat_3034_f_neg,HTS_DisaggTool,Inpat,HTS_TST,N,Inpat,,,,,,,,30-34,15+,,Female,Negative,,FALSE
